,Selection_Freq,Avg_Std_Coef,Sign_Consistency,CI_Lower,CI_Upper,p_approx
n_dependency_expl,1.0,0.0417728921095827,1.0,0.027154274457013246,0.06619164678139021,0.0
n_positive_sentiment,1.0,0.021559621916082256,1.0,0.027917487020518512,0.05594344357289471,0.0
n_dependency_intj,1.0,0.007063158291189473,1.0,-0.00462140163681686,0.022327991975879893,0.28
n_dependency_meta,1.0,0.022762761760134264,1.0,0.012154564632736509,0.033251733825161375,0.0
n_dependency_neg,1.0,0.07625854004837782,1.0,0.06055505332026475,0.09016527774802807,0.0
n_dependency_nsubj,1.0,-0.03421695979379311,1.0,-0.05759126257514694,-0.008463092838436086,0.0
n_dependency_nsubjpass,1.0,-0.06779132823666785,1.0,-0.08781220797903486,-0.050885627940053316,0.0
n_dependency_nummod,1.0,-0.008227775275049948,1.0,-0.02871210751191352,0.015370298302220543,0.57
n_dependency_oprd,1.0,0.0020772339460026685,0.6,-0.00761011184043048,0.010312008993422736,0.74
n_dependency_parataxis,1.0,-0.007888571857023572,1.0,-0.018190474474001867,0.0009039933635908444,0.14
n_dependency_pcomp,1.0,0.04134937412482252,1.0,0.03002322572979588,0.05264837932373611,0.0
n_dependency_poss,1.0,0.03981523286227466,1.0,0.027177415687029523,0.056547043006673015,0.0
n_dependency_preconj,1.0,0.010853744879258128,1.0,0.00035443143198740656,0.019845774467479912,0.03
n_dependency_prt,1.0,-0.00767413232258865,1.0,-0.017852767866691308,0.0019273352111753735,0.1
n_dependency_quantmod,1.0,0.02236935061965655,1.0,0.010337418531538856,0.03350712490624758,0.0
n_dependency_relcl,1.0,0.04314449058887905,1.0,0.0287014505018942,0.05661373116989278,0.0
n_dependency_xcomp,1.0,0.00849822450929509,1.0,-0.0047240942067249,0.024070936968917635,0.26
n_high_intensity_surprise,1.0,0.06867813600024814,1.0,0.00495444306234307,0.03400751386653747,0.01
n_negative_sentiment,1.0,-0.01603801542828478,1.0,-0.026278234361111458,-0.005015692147127311,0.0
n_high_arousal,1.0,-0.022340056945917498,1.0,-0.033981564545831025,-0.009154054632586117,0.0
n_high_intensity_anger,1.0,0.08891508780787558,1.0,0.07629738896271498,0.0997488938582866,0.0
n_high_intensity_anticipation,1.0,-0.03272974628539112,1.0,-0.04135163300765842,-0.022959824649632202,0.0
n_high_intensity_disgust,1.0,0.0029606037616928286,1.0,-0.006294523637602239,0.009882891697221492,0.56
n_high_intensity_joy,1.0,0.016818786273697813,1.0,0.006778098231529766,0.026000710140030848,0.0
n_high_intensity_sadness,1.0,-0.017960769419118217,1.0,-0.026755314347863306,-0.007681150159043961,0.0
cttr,1.0,-0.04514479812491247,1.0,0.059379838735833315,0.07847728669471067,0.0
n_high_intensity_trust,1.0,0.07791137019248842,1.0,0.06894352375341004,0.08611547099426155,0.0
compressibility,1.0,0.013071339295227576,1.0,-0.0024663249432759805,0.03233077640916552,0.12
entropy,1.0,0.11085034464671768,1.0,0.08172103034398524,0.14483632829082999,0.0
mtld,1.0,0.029269705556810882,1.0,-0.09928327685168757,-0.0015439855114956433,0.02
n_global_lemma_hapax_dislegomena,1.0,-0.020339913870728595,1.0,-0.03939085588451988,-0.003160920027204325,0.01
mattr,1.0,0.0959208874259155,1.0,0.009315013059540377,0.04668423949370796,0.0
simpsons_d,1.0,0.1321912907544597,1.0,0.07632672079639746,0.11483565260502247,0.0
n_date,1.0,-0.12237664773141257,1.0,0.055428486847912885,0.2421069331464286,0.0
n_adj,1.0,-0.04689885382972092,1.0,-0.06600617841992741,-0.02785975080050182,0.0
n_adv,1.0,-0.030837766888113675,1.0,-0.046926659684594994,-0.01569626887179182,0.0
n_aux,1.0,-0.08017858735161412,1.0,-0.11408357357731656,-0.04050548103885753,0.0
n_intj,1.0,0.03943421910796319,1.0,0.022592084326542496,0.05727406709597675,0.0
n_noun,1.0,0.023923500673896824,1.0,-0.006808106277789939,0.06468177150721571,0.16
n_num,1.0,0.0223488231897404,1.0,-0.014004157829542762,0.05943448906052344,0.19
n_part,1.0,-0.1503842494003016,1.0,-0.17726804193784182,-0.1100645780247916,0.0
n_pron,1.0,0.004517719301434164,0.6,-0.016160731444871547,0.026848108888726317,0.65
n_propn,1.0,0.2838506459877038,1.0,0.24155008192113617,0.32407879469300466,0.0
n_sconj,1.0,0.007733806991744971,1.0,-0.007152904050367422,0.024547319785091698,0.26
n_sym,1.0,0.01589032572348271,1.0,-0.005379003402873117,0.053910914025592074,0.13
n_x,1.0,-0.0067087874820364185,1.0,-0.020962550972116183,0.00554261482337345,0.36
avg_concreteness,1.0,-0.07549359081951018,1.0,-0.0875692620959352,-0.06110788848385913,0.0
n_high_concreteness,1.0,-0.06999770886834852,1.0,-0.09200650102433605,-0.053283674992059785,0.0
avg_aoa,1.0,0.1547364610502541,1.0,0.1287101456762724,0.17562305283268267,0.0
avg_prevalence,1.0,0.055710108749908935,1.0,0.026347560372608537,0.08976752714828372,0.0
n_high_Auditory_sensorimotor,1.0,-0.05952553624180924,1.0,-0.07164217062772005,-0.045532196536592566,0.0
n_high_Gustatory_sensorimotor,1.0,0.05934004374319438,1.0,0.04414911851748212,0.07434747076298903,0.0
n_high_Haptic_sensorimotor,1.0,-0.011210359399715583,1.0,-0.02142966603285867,-0.0014282742337862584,0.02
n_high_Interoceptive_sensorimotor,1.0,0.026022599372849696,1.0,0.01690784466061734,0.036401825557107116,0.0
n_high_Olfactory_sensorimotor,1.0,-0.012891487089322057,1.0,-0.02903261238956012,0.00011302663317817707,0.06
n_high_Visual_sensorimotor,1.0,-0.0009158695975887128,0.2,-0.017234863869359223,0.01850669609024519,0.85
n_high_Foot_leg_sensorimotor,1.0,0.057728316698964485,1.0,0.04468111256883566,0.06980596817368534,0.0
n_high_Hand_arm_sensorimotor,1.0,-0.047769156825439224,1.0,-0.05961978635327287,-0.036031436719106406,0.0
n_high_Head_sensorimotor,1.0,0.13146780078639306,1.0,0.11940545331226389,0.14331798096464773,0.0
n_high_Mouth_sensorimotor,1.0,-0.03112296934054672,1.0,-0.04488491061086749,-0.018588937884934806,0.0
n_high_Torso_sensorimotor,1.0,0.031127987846239297,1.0,0.018582760189685178,0.04513964237047221,0.0
gunning_fog,1.0,0.010367051041145634,0.6,-0.013782709831866786,0.03411156959199662,0.43
n_hedges,1.0,0.020866421572100013,1.0,0.008153527051126038,0.03453231735735574,0.0
n_org,1.0,-0.11336145377828322,1.0,-0.1263581462515876,-0.09927664039555732,0.0
n_cardinal,1.0,0.029992879128036387,1.0,0.01231035981183525,0.04677000838016058,0.0
corr_adp_var,1.0,-0.01263205760941688,1.0,-0.14074076586546122,-0.10234830497124871,0.0
n_gpe,1.0,-0.03166514331442312,1.0,-0.048740544555624314,-0.015018512114272436,0.0
n_person,1.0,-0.055857932554783066,1.0,-0.08386611954826241,-0.030067958368497925,0.0
n_money,1.0,0.04245160427543622,1.0,0.030377101531686563,0.056740919539142544,0.0
n_product,1.0,0.004808079914734473,1.0,-0.00820279154226686,0.016114060797640137,0.41
n_time,1.0,0.027339005611102925,1.0,0.01878180702625053,0.036374157087511565,0.0
n_percent,1.0,0.006800253890175585,1.0,-0.004234052116552773,0.017600574421074624,0.31
n_quantity,1.0,0.012299311808407215,1.0,0.003227133893783885,0.020932064352172947,0.0
n_norp,1.0,-0.010866378284600336,1.0,-0.02181015881449367,-0.0027959578645754377,0.01
n_loc,1.0,0.01471128686521459,1.0,0.005257659837601814,0.022883707081990112,0.0
n_event,1.0,0.01860703211814215,1.0,0.009512962864867806,0.02672060632124328,0.0
n_ordinal,1.0,-0.02625611843967409,1.0,-0.03488012689962371,-0.016342697376248053,0.0
n_fac,1.0,0.0008744843098721326,0.2,-0.007308228098568779,0.010456834373967676,0.71
n_law,1.0,-0.016318511266963258,1.0,-0.02542630201307223,-0.006125884861760928,0.0
n_language,1.0,-0.015704569924398448,1.0,-0.026075723917438353,-0.006490726619919878,0.0
corr_adj_var,1.0,-0.050814218309519134,1.0,-0.06841134089473697,-0.02798832020220577,0.0
corr_pron_var,1.0,-0.006515740076746074,1.0,-0.026158656035367718,0.0,0.04
corr_aux_var,1.0,-0.01345425176270527,1.0,-0.023908120396364467,0.0,0.03
corr_cconj_var,1.0,-0.01158523614936591,1.0,-0.019612228682443354,-0.0004536030365157155,0.03
corr_det_var,1.0,-0.05441095592228538,1.0,-0.06706615682745401,-0.04357343667014806,0.0
corr_intj_var,1.0,0.048433717190287474,1.0,0.03790223576811597,0.058198278638713345,0.0
corr_noun_var,1.0,-0.037616235294710566,1.0,-0.058228297968392975,-0.017032665881051075,0.0
corr_num_var,1.0,-0.07157645047144337,1.0,-0.08599847179692663,-0.05730098993254479,0.0
corr_part_var,1.0,0.0057063086732038705,1.0,-0.00420778616061207,0.016914289783875495,0.34
corr_sym_var,1.0,-0.024614710564840846,1.0,-0.01697220168458772,0.004505388004279218,0.28
corr_propn_var,1.0,-0.010910436589013278,1.0,-0.027612623716761982,0.004829365058340941,0.13
corr_punct_var,1.0,-0.018241651827104428,1.0,-0.028133564723181296,-0.006188668310666265,0.0
corr_sconj_var,1.0,-0.01196929701617971,1.0,-0.023947822521729972,-0.0013742381603072684,0.02
corr_space_var,1.0,-0.015502758324220007,1.0,-0.03569054834836987,-0.014820620116085299,0.0
corr_verb_var,1.0,0.13854263386772842,1.0,0.11428690944729251,0.15914399977189003,0.0
t_stopword,1.0,-0.374823604622499,1.0,-0.02518884295691566,-0.006838980856575151,0.0
n_dependency_dative,0.8,0.002638792242759789,0.8,-0.42914994954295566,-0.3229438283932872,0.0
